Grade,interac_time,class_length,Ratio
Distinction,2732,268,10.19402985
Fail,427,268,1.593283582
Pass,569,268,2.123134328
Withdrawn,465,268,1.735074627
Distinction,914,269,3.397769517
Fail,176,269,0.654275093
Pass,144,269,0.535315985
Withdrawn,3,269,0.011152416
Distinction,562,240,2.341666667
Fail,354,240,1.475
Pass,551,240,2.295833333
Withdrawn,126,240,0.525
Distinction,1186,268,4.425373134
Fail,201,268,0.75
Pass,1625,268,6.063432836
Withdrawn,850,268,3.171641791
Distinction,2025,234,8.653846154
Fail,219,234,0.935897436
Pass,583,234,2.491452991
Withdrawn,0,234,0
Distinction,2043,262,7.797709924
Fail,200,262,0.763358779
Pass,381,262,1.454198473
Withdrawn,4,262,0.015267176
Distinction,3676,241,15.25311203
Fail,247,241,1.024896266
Pass,1199,241,4.975103734
Withdrawn,1114,241,4.622406639
Distinction,2566,269,9.539033457
Fail,349,269,1.29739777
Pass,2107,269,7.832713755
Withdrawn,358,269,1.330855019
Distinction,1790,240,7.458333333
Fail,157,240,0.654166667
Pass,1125,240,4.6875
Withdrawn,31,240,0.129166667
Distinction,1794,261,6.873563218
Fail,212,261,0.812260536
Pass,665,261,2.54789272
Withdrawn,1498,261,5.739463602
Distinction,2454,241,10.18257261
Fail,800,241,3.319502075
Pass,918,241,3.809128631
Withdrawn,575,241,2.385892116
Distinction,4450,262,16.98473282
Fail,182,262,0.694656489
Pass,494,262,1.885496183
Withdrawn,0,262,0
Distinction,4823,268,17.99626866
Fail,1146,268,4.276119403
Pass,2184,268,8.149253731
Withdrawn,0,268,0
Distinction,9616,241,39.90041494
Fail,1523,241,6.319502075
Pass,634,241,2.630705394
Withdrawn,11,241,0.045643154
Distinction,2336,269,8.68401487
Fail,739,269,2.747211896
Pass,1581,269,5.87732342
Withdrawn,1580,269,5.873605948
Distinction,5898,240,24.575
Fail,202,240,0.841666667
Pass,5543,240,23.09583333
Withdrawn,0,240,0
Distinction,2238,268,8.350746269
Fail,382,268,1.425373134
Pass,1476,268,5.507462687
Withdrawn,0,268,0
Distinction,5037,241,20.90041494
Fail,534,241,2.215767635
Pass,3662,241,15.19502075
Withdrawn,1147,241,4.7593361
Distinction,4071,269,15.133829
Fail,131,269,0.486988848
Pass,3999,269,14.866171
Withdrawn,3760,269,13.97769517
Distinction,2285,261,8.754789272
Fail,135,261,0.517241379
Pass,367,261,1.406130268
Withdrawn,129,261,0.494252874
Distinction,902,241,3.742738589
Fail,9,241,0.037344398
Pass,326,241,1.352697095
Withdrawn,0,241,0
Distinction,806,269,2.996282528
Fail,527,269,1.959107807
Pass,608,269,2.260223048
Withdrawn,275,269,1.022304833